r,t,y,TotalCapacityAnnual
REGION,AOCRUDPROX,2054,16.688623098141
REGION,AOCRUDPROX,2070,0.0
REGION,AOCRUDRE1X,2015,999999.0
REGION,AOCRUDRE1X,2016,1999998.0
REGION,AOCRUDRE1X,2017,2999997.0
REGION,AOCRUDRE1X,2018,3999996.0
REGION,AOCRUDRE1X,2019,4999995.0
REGION,AOCRUDRE1X,2020,5999994.0
REGION,AOCRUDRE1X,2021,6999993.0
REGION,AOCRUDRE1X,2022,7999992.0
REGION,AOCRUDRE1X,2023,8999991.0
REGION,AOCRUDRE1X,2024,9999990.0
REGION,AOCRUDRE1X,2025,10999989.0
REGION,AOCRUDRE1X,2026,11999988.0
REGION,AOCRUDRE1X,2027,12999987.0
REGION,AOCRUDRE1X,2028,13999986.0
REGION,AOCRUDRE1X,2029,14999985.0
REGION,AOCRUDRE1X,2030,15999984.0
REGION,AOCRUDRE1X,2031,16999983.0
REGION,AOCRUDRE1X,2032,17999982.0
REGION,AOCRUDRE1X,2033,18999981.0
REGION,AOCRUDRE1X,2034,19999980.0
REGION,AOCRUDRE1X,2035,20999979.0
REGION,AOCRUDRE1X,2036,21999978.0
REGION,AOCRUDRE1X,2037,22999977.0
REGION,AOCRUDRE1X,2038,23999976.0
REGION,AOCRUDRE1X,2039,24999975.0
REGION,AOCRUDRE1X,2040,25999974.0
REGION,AOCRUDRE1X,2041,26999973.0
REGION,AOCRUDRE1X,2042,27999972.0
REGION,AOCRUDRE1X,2043,28999971.0
REGION,AOCRUDRE1X,2044,29999970.0
REGION,AOCRUDRE1X,2045,30999969.0
REGION,AOCRUDRE1X,2046,31999968.0
REGION,AOCRUDRE1X,2047,32999967.0
REGION,AOCRUDRE1X,2048,33999966.0
REGION,AOCRUDRE1X,2049,34999965.0
REGION,AOCRUDRE1X,2050,34999965.0
REGION,AOCRUDRE1X,2051,34999965.0
REGION,AOCRUDRE1X,2052,34999965.0
REGION,AOCRUDRE1X,2053,34999965.0
REGION,AOCRUDRE1X,2054,34999965.0
REGION,AOCRUDRE1X,2055,34999965.0
REGION,AOCRUDRE1X,2056,34999965.0
REGION,AOCRUDRE1X,2057,34999965.0
REGION,AOCRUDRE1X,2058,34999965.0
REGION,AOCRUDRE1X,2059,34999965.0
REGION,AOCRUDRE1X,2060,34999965.0
REGION,AOCRUDRE1X,2061,34999965.0
REGION,AOCRUDRE1X,2062,34999965.0
REGION,AOCRUDRE1X,2063,34999965.0
REGION,AOCRUDRE1X,2064,34999965.0
REGION,AOCRUDRE1X,2065,34999965.0
REGION,AOCRUDRE1X,2066,34999965.0
REGION,AOCRUDRE1X,2067,34999965.0
REGION,AOCRUDRE1X,2068,34999965.0
REGION,AOCRUDRE1X,2069,34999965.0
REGION,AOCRUDRE1X,2070,34999965.0
REGION,AOCRUDRE2X,2015,999999.0
REGION,AOCRUDRE2X,2016,1999998.0
REGION,AOCRUDRE2X,2017,2999997.0
REGION,AOCRUDRE2X,2018,3999996.0
REGION,AOCRUDRE2X,2019,4999995.0
REGION,AOCRUDRE2X,2020,5999994.0
REGION,AOCRUDRE2X,2021,6999993.0
REGION,AOCRUDRE2X,2022,7999992.0
REGION,AOCRUDRE2X,2023,8999991.0
REGION,AOCRUDRE2X,2024,9999990.0
REGION,AOCRUDRE2X,2025,10999989.0
REGION,AOCRUDRE2X,2026,11999988.0
REGION,AOCRUDRE2X,2027,12999987.0
REGION,AOCRUDRE2X,2028,13999986.0
REGION,AOCRUDRE2X,2029,14999985.0
REGION,AOCRUDRE2X,2030,15999984.0
REGION,AOCRUDRE2X,2031,16999983.0
REGION,AOCRUDRE2X,2032,17999982.0
REGION,AOCRUDRE2X,2033,18999981.0
REGION,AOCRUDRE2X,2034,19999980.0
REGION,AOCRUDRE2X,2035,20999979.0
REGION,AOCRUDRE2X,2036,21999978.0
