r,t,y,NewCapacity
REGION,AOEL00TDTX,2066,0.537635086498305
REGION,AOEL00TDTX,2067,0.546823313117464
REGION,AOEL00TDTX,2068,0.586849326892568
REGION,AOEL00TDTX,2069,0.623984836272029
REGION,AOEL00TDTX,2070,0.662985813506325
REGION,AOELCDBP00,2019,0.6
REGION,AOELCDBP00,2070,0.0
REGION,AOETHANOLX,2070,999999999.0
REGION,AOFW00P00X,2015,999999999.0
REGION,AOFW00P00X,2016,999999999.0
REGION,AOFW00P00X,2017,999999999.0
REGION,AOFW00P00X,2018,999999999.0
REGION,AOFW00P00X,2019,999999999.0
REGION,AOFW00P00X,2020,999999999.0
REGION,AOFW00P00X,2021,999999999.0
REGION,AOFW00P00X,2022,999999999.0
REGION,AOFW00P00X,2023,2890.09926948138
REGION,AOFW00P00X,2024,999999999.0
REGION,AOFW00P00X,2025,999999999.0
REGION,AOFW00P00X,2026,999999999.0
REGION,AOFW00P00X,2027,999999999.0
REGION,AOFW00P00X,2028,999999999.0
REGION,AOFW00P00X,2029,999999999.0
REGION,AOFW00P00X,2030,999999999.0
REGION,AOFW00P00X,2031,999999999.0
REGION,AOFW00P00X,2032,999999999.0
REGION,AOFW00P00X,2033,999999999.0
REGION,AOFW00P00X,2034,999999999.0
REGION,AOFW00P00X,2035,999999999.0
REGION,AOFW00P00X,2036,999999999.0
REGION,AOFW00P00X,2037,999999999.0
REGION,AOFW00P00X,2038,999999999.0
REGION,AOFW00P00X,2039,999999999.0
REGION,AOFW00P00X,2040,999999999.0
REGION,AOFW00P00X,2041,999999999.0
REGION,AOFW00P00X,2042,999999999.0
REGION,AOFW00P00X,2043,999999999.0
REGION,AOFW00P00X,2044,999999999.0
REGION,AOFW00P00X,2045,999999999.0
REGION,AOFW00P00X,2046,999999999.0
REGION,AOFW00P00X,2047,999999999.0
REGION,AOFW00P00X,2048,999999999.0
REGION,AOFW00P00X,2049,999999999.0
REGION,AOFW00P00X,2050,999999999.0
REGION,AOFW00P00X,2051,999999999.0
REGION,AOFW00P00X,2052,999999999.0
REGION,AOFW00P00X,2053,999999999.0
REGION,AOFW00P00X,2054,999999999.0
REGION,AOFW00P00X,2055,999999999.0
REGION,AOFW00P00X,2056,999999999.0
REGION,AOFW00P00X,2057,999999999.0
REGION,AOFW00P00X,2058,999999999.0
REGION,AOFW00P00X,2059,999999999.0
REGION,AOFW00P00X,2060,999999999.0
REGION,AOFW00P00X,2061,999999999.0
REGION,AOFW00P00X,2062,999999999.0
REGION,AOFW00P00X,2063,999999999.0
REGION,AOFW00P00X,2064,999999999.0
REGION,AOFW00P00X,2065,999999999.0
REGION,AOFW00P00X,2066,999999999.0
REGION,AOFW00P00X,2067,999999999.0
REGION,AOFW00P00X,2068,999999999.0
REGION,AOFW00P00X,2069,999999999.0
REGION,AOFW00P00X,2070,999999999.0
REGION,AOHE00T00X,2070,0.0
REGION,AOHF00E00X,2015,3.58228750622416
REGION,AOHF00E00X,2016,1.10239950231397
REGION,AOHF00E00X,2019,0.0786332754946315
REGION,AOHF00E00X,2020,0.0808179979152425
REGION,AOHF00E00X,2039,0.685821285249445
REGION,AOHF00E00X,2070,999999993.47004
REGION,AOHF00I00X,2015,26.0585747831632
REGION,AOHF00I00X,2016,1.03770003260767
REGION,AOHF00I00X,2029,1.80732036243001
REGION,AOHF00I00X,2030,0.888515604669138
REGION,AOHF00I00X,2031,0.543699259063199
REGION,AOHF00I00X,2033,1.12436601833946
REGION,AOHF00I00X,2034,3.41745553027813
REGION,AOHF00I00X,2035,3.3123435701231
REGION,AOHF00I00X,2036,1.62911242075416
REGION,AOHF00I00X,2037,2.60861844037285
REGION,AOHF00I00X,2042,0.357871319168114
REGION,AOHF00I00X,2043,4.70742057645731
REGION,AOHF00I00X,2044,0.265865877807362
REGION,AOHF00I00X,2045,3.59769617799285
REGION,AOHF00I00X,2048,3.42785489488908
REGION,AOHF00I00X,2049,4.40544905998267
REGION,AOHF00I00X,2052,1.02579867496716
REGION,AOHF00I00X,2053,0.29594027440558
REGION,AOHF00I00X,2056,1.10494678489428
REGION,AOHF00I00X,2057,9.98179603683871
REGION,AOHF00I00X,2058,4.11802307903896
REGION,AOHF00I00X,2061,3.2257130568171
REGION,AOHF00I00X,2063,15.0518855619233
REGION,AOHF00I00X,2070,999999905.006033
REGION,AOHF00P00X,2015,17.3697024283745
REGION,AOHF00P00X,2016,1.53873972608602
REGION,AOHF00P00X,2017,2.40976806920494
REGION,AOHF00P00X,2018,0.646239447545419
REGION,AOHF00P00X,2019,1.20000332966588
REGION,AOHF00P00X,2021,0.479464455098373
REGION,AOHF00P00X,2023,6.05875929292355
REGION,AOHF00P00X,2026,4.22901059874672
REGION,AOHF00P00X,2034,0.198994553190964
REGION,AOHF00P00X,2035,0.536893927262271
REGION,AOHF00P00X,2036,6.14627119666759
REGION,AOHF00P00X,2037,1.83784168651365
REGION,AOHF00P00X,2041,0.221238859106678
REGION,AOHF00P00X,2042,0.436277124228075
REGION,AOHF00P00X,2043,2.24326013551555
REGION,AOHF00P00X,2045,7.12583409246908
REGION,AOHF00P00X,2048,3.42785489488912
REGION,AOHF00P00X,2049,4.40544905998265
REGION,AOHF00P00X,2057,9.98885084907004
REGION,AOHF00P00X,2058,5.21591505170189
REGION,AOHF00P00X,2061,2.72408836832734
REGION,AOHF00P00X,2063,15.553510250413
REGION,AOHF00P00X,2070,999999905.006033
REGION,AOHFGCP01N,2070,0.0
REGION,AOHFGCP01O,2070,0.0
REGION,AOHFGCP02N,2070,0.0
REGION,AOHFGCP02O,2070,0.0
REGION,AOHFGCP03N,2070,0.0
REGION,AOHFGCP03O,2070,0.0
REGION,AOHFGCP04N,2070,0.0
REGION,AOHFGCP04O,2070,0.0
REGION,AOHYDMS01X,2018,0.0216
REGION,AOHYDMS01X,2070,0.0
REGION,AOHYDMS02X,2016,0.12686
REGION,AOHYDMS02X,2034,0.0461123140133861
REGION,AOHYDMS02X,2038,0.370897401719274
REGION,AOHYDMS02X,2039,0.5
REGION,AOHYDMS02X,2040,0.5
REGION,AOHYDMS02X,2041,0.371543966973227
REGION,AOHYDMS02X,2042,0.355386317294113
REGION,AOHYDMS02X,2070,0.0
REGION,AOHYDMS03X,2017,2.39
REGION,AOHYDMS03X,2018,0.35
REGION,AOHYDMS03X,2024,2.17
REGION,AOHYDMS03X,2028,0.403911980084486
REGION,AOHYDMS03X,2029,0.5
REGION,AOHYDMS03X,2030,0.5
REGION,AOHYDMS03X,2031,0.5
REGION,AOHYDMS03X,2032,0.5
REGION,AOHYDMS03X,2033,0.5
REGION,AOHYDMS03X,2034,0.5
REGION,AOHYDMS03X,2035,0.5
REGION,AOHYDMS03X,2036,0.5
REGION,AOHYDMS03X,2037,0.5
REGION,AOHYDMS03X,2038,0.5
REGION,AOHYDMS03X,2039,0.5
REGION,AOHYDMS03X,2040,0.5
REGION,AOHYDMS03X,2041,0.5
REGION,AOHYDMS03X,2042,0.5
REGION,AOHYDMS03X,2043,0.5
REGION,AOHYDMS03X,2044,0.5
REGION,AOHYDMS03X,2045,0.5
REGION,AOHYDMS03X,2046,0.398088019915513
REGION,AOHYDMS03X,2070,0.0
REGION,AOLF00E00X,2015,41.2932772813764
REGION,AOLF00E00X,2016,7.9360161402029
REGION,AOLF00E00X,2028,9.19412123508719
REGION,AOLF00E00X,2046,0.638378382963246
REGION,AOLF00E00X,2066,26.6130805407367
REGION,AOLF00E00X,2070,999999913.325127
REGION,AOLF00I00X,2015,168.063939560652
REGION,AOLF00I00X,2016,15.378775974074
REGION,AOLF00I00X,2017,3.87958195571974
REGION,AOLF00I00X,2024,21.2800511522309
REGION,AOLF00I00X,2025,41.4028417396543
REGION,AOLF00I00X,2026,13.2223818869984
REGION,AOLF00I00X,2027,62.8858741374533
REGION,AOLF00I00X,2028,220.898058514167
REGION,AOLF00I00X,2031,8.15680453497345
REGION,AOLF00I00X,2032,79.3961643608728
REGION,AOLF00I00X,2035,125.170937466234
REGION,AOLF00I00X,2045,4.51889639407659
REGION,AOLF00I00X,2053,3.03243537711421
REGION,AOLF00I00X,2055,15.1999979177864
REGION,AOLF00I00X,2057,10.5160901924291
REGION,AOLF00I00X,2060,199.873931282584
REGION,AOLF00I00X,2061,132.325303226149
REGION,AOLF00I00X,2063,496.707931688151
REGION,AOLF00I00X,2065,89.399214526997
REGION,AOLF00I00X,2066,567.503011317652
REGION,AOLF00I00X,2067,5456.96254819597
REGION,AOLF00I00X,2070,999992263.225229
REGION,AOLF00P00X,2015,211.230125932322
REGION,AOLF00P00X,2016,39.7219090902401
REGION,AOLF00P00X,2017,19.3647879163044
REGION,AOLF00P00X,2021,15.1999979177852
REGION,AOLF00P00X,2023,21.2800511522308
REGION,AOLF00P00X,2025,77.4097532742339
REGION,AOLF00P00X,2027,0.434198828873946
REGION,AOLF00P00X,2028,205.668795528975
REGION,AOLF00P00X,2030,19.7258333937441
REGION,AOLF00P00X,2032,30.3236465951451
REGION,AOLF00P00X,2035,134.576309570962
REGION,AOLF00P00X,2047,4.51889639407688
REGION,AOLF00P00X,2053,3.03243537711387
REGION,AOLF00P00X,2059,10.5160901924289
REGION,AOLF00P00X,2060,199.873931282584
REGION,AOLF00P00X,2061,132.32530322615
REGION,AOLF00P00X,2063,496.707931688151
REGION,AOLF00P00X,2065,78.4418461939879
REGION,AOLF00P00X,2066,578.460379650661
REGION,AOLF00P00X,2069,5456.96254819597
REGION,AOLF00P00X,2070,999992263.225229
